kernel,apis,all_4_apis,cuda_source_files,has_makefile,has_self_check
accuracy,"cuda,hip,omp,sycl",True,2,True,True
ace,"cuda,hip,omp,sycl",True,2,True,True
adam,"cuda,hip,omp,sycl",True,2,True,True
adamw,"cuda,hip,omp,sycl",True,3,True,True
addBiasQKV,"cuda,hip",False,1,True,False
addBiasResidualLayerNorm,"cuda,hip,sycl",False,2,True,False
adjacent,"cuda,hip,omp,sycl",True,1,True,True
adv,"cuda,hip,omp,sycl",True,2,True,False
aes,"cuda,hip,omp,sycl",True,5,True,True
affine,"cuda,hip,omp,sycl",True,3,True,True
aidw,"cuda,hip,omp,sycl",True,2,True,True
aligned-types,"cuda,hip,omp,sycl",True,1,True,True
all-pairs-distance,"cuda,hip,omp,sycl",True,1,True,True
allreduce,"cuda,hip,sycl",False,5,True,True
amgmk,"cuda,hip,omp,sycl",True,18,True,True
ans,"cuda,hip,omp,sycl",True,0,True,False
aobench,"cuda,hip,omp,sycl",True,1,True,True
aop,"cuda,hip,omp,sycl",True,1,True,True
asmooth,"cuda,hip,omp,sycl",True,2,True,True
assert,"cuda,hip,omp,sycl",True,1,True,True
asta,"cuda,hip,omp,sycl",True,1,True,True
atan2,"cuda,hip,omp,sycl",True,1,True,True
atomicAggregate,"cuda,hip,sycl",False,1,True,True
atomicCAS,"cuda,hip,sycl",False,2,True,True
atomicCost,"cuda,hip,omp,sycl",True,1,True,True
atomicIntrinsics,"cuda,hip,omp,sycl",True,4,True,True
atomicPerf,"cuda,hip,omp,sycl",True,2,True,True
atomicReduction,"cuda,hip,omp,sycl",True,2,True,True
atomicSystemWide,"cuda,hip,sycl",False,1,True,True
attention,"cuda,hip,omp,sycl",True,3,True,True
attention-paged,"cuda,hip,sycl",False,5,True,True
attentionMultiHead,"cuda,hip,sycl",False,2,True,True
axhelm,"cuda,hip,omp,sycl",True,6,True,True
axpby,"cuda,hip,sycl",False,1,True,True
b+tree,"cuda,hip,omp,sycl",True,3,True,True
babelstream,"cuda,hip,omp,sycl",True,1,True,True
background-subtract,"cuda,hip,omp,sycl",True,2,True,True
backprop,"cuda,hip,omp,sycl",True,8,True,True
bezier-surface,"cuda,hip,omp,sycl",True,1,True,True
bfs,"cuda,hip,omp,sycl",True,1,True,True
bh,"cuda,hip,sycl",False,1,True,True
bicgstab,"cuda,hip",False,2,True,True
bilateral,"cuda,hip,omp,sycl",True,2,True,True
bincount,"cuda,hip,sycl",False,1,True,False
binomial,"cuda,hip,omp,sycl",True,5,True,True
bitcracker,"cuda,hip,sycl",False,7,True,True
bitonic-sort,"cuda,hip,omp,sycl",True,1,True,True
bitpacking,"cuda,hip,sycl",False,4,True,True
bitpermute,"cuda,hip,sycl",False,3,True,True
black-scholes,"cuda,hip,omp,sycl",True,3,True,True
blas-dot,"cuda,hip,sycl",False,1,True,True
blas-fp8gemm,"cuda,hip",False,2,True,True
blas-gemm,"cuda,hip,omp,sycl",True,2,True,True
blas-gemmBatched,"cuda,hip,sycl",False,2,True,True
blas-gemmEx,"cuda,hip,sycl",False,2,True,False
blas-gemmEx2,"cuda,hip,sycl",False,2,True,True
blas-gemmStridedBatched,"cuda,hip,sycl",False,1,True,True
blockAccess,"cuda,hip,sycl",False,4,True,True
blockScan,"cuda,hip,sycl",False,1,True,True
blockexchange,"cuda,hip,sycl",False,2,True,True
bm3d,"cuda,hip,sycl",False,8,True,True
bmf,"cuda,hip,sycl",False,0,True,False
bn,"cuda,hip,omp,sycl",True,3,True,True
bonds,"cuda,hip,omp,sycl",True,6,True,False
boxfilter,"cuda,hip,omp,sycl",True,2,True,True
bscan,"cuda,hip,sycl",False,1,True,True
bsearch,"cuda,hip,omp,sycl",True,1,True,True
bspline-vgh,"cuda,hip,omp,sycl",True,3,True,True
bsw,"cuda,hip,sycl",False,7,True,True
btree,"cuda,sycl",False,2,True,True
burger,"cuda,hip,omp,sycl",True,2,True,True
bwt,"cuda,hip,omp,sycl",True,3,True,True
car,"cuda,hip,omp,sycl",True,3,True,False
cbsfil,"cuda,hip,omp,sycl",True,3,True,True
cc,"cuda,hip,sycl",False,1,True,True
ccl,"cuda,hip,sycl",False,1,True,True
ccs,"cuda,hip,omp,sycl",True,8,True,True
ccsd-trpdrv,"cuda,hip,omp,sycl",True,4,True,True
ced,"cuda,hip,sycl",False,3,True,True
cfd,"cuda,hip,omp,sycl",True,2,True,True
chacha20,"cuda,hip,omp,sycl",True,2,True,True
channelShuffle,"cuda,hip,omp,sycl",True,2,True,True
channelSum,"cuda,hip,omp,sycl",True,2,True,True
che,"cuda,hip,omp,sycl",True,2,True,True
chemv,"cuda,hip,omp,sycl",True,3,True,True
chi2,"cuda,hip,omp,sycl",True,2,True,True
clenergy,"cuda,hip,omp,sycl",True,3,True,True
clink,"cuda,hip,omp,sycl",True,3,True,True
clock,"cuda,hip,sycl",False,1,True,False
cm,"cuda,hip,omp,sycl",True,5,True,True
cmembench,"cuda,hip",False,1,True,True
cmp,"cuda,hip,omp,sycl",True,13,True,True
cobahh,"cuda,hip,omp,sycl",True,3,True,False
collision,"cuda,hip,sycl",False,1,True,True
colorwheel,"cuda,hip,omp,sycl",True,1,True,True
columnarSolver,"cuda,hip,omp,sycl",True,2,True,True
complex,"cuda,hip,omp,sycl",True,4,True,True
compute-score,"cuda,hip,omp,sycl",True,4,True,True
concat,"cuda,hip,omp,sycl",True,2,True,True
concurrentKernels,"cuda,hip,sycl",False,1,True,True
contract,"cuda,hip,omp,sycl",True,2,True,False
conversion,"cuda,hip,omp,sycl",True,1,True,False
convolution1D,"cuda,hip,omp,sycl",True,1,True,True
convolution3D,"cuda,hip,omp,sycl",True,2,True,True
convolutionDeformable,"cuda,hip,sycl",False,0,True,False
convolutionSeparable,"cuda,hip,omp,sycl",True,4,True,True
cooling,"cuda,hip,omp,sycl",True,1,True,True
coordinates,"cuda,hip,sycl",False,2,True,True
crc64,"cuda,hip,omp,sycl",True,3,True,True
cross,"cuda,hip,omp,sycl",True,1,True,True
crossEntropy,"cuda,hip,sycl",False,2,True,True
crs,"cuda,hip,omp,sycl",True,10,True,True
d2q9-bgk,"cuda,hip,omp,sycl",True,1,True,True
d3q19-bgk,"cuda,hip,sycl",False,2,True,True
damage,"cuda,hip,omp,sycl",True,3,True,True
daphne,"cuda,hip,sycl",False,0,False,False
dct8x8,"cuda,hip,omp,sycl",True,4,True,True
ddbp,"cuda,hip,omp,sycl",True,1,True,False
debayer,"cuda,hip,omp,sycl",True,3,True,True
degrid,"cuda,hip,omp,sycl",True,3,True,True
dense-embedding,"cuda,hip,omp,sycl",True,1,True,True
depixel,"cuda,hip,omp,sycl",True,2,True,False
deredundancy,"cuda,hip,omp,sycl",True,4,True,True
determinant,"cuda,hip,sycl",False,1,True,False
diamond,"cuda,hip,omp,sycl",True,1,True,True
dispatch,"cuda,hip,sycl",False,1,True,False
distort,"cuda,hip,omp,sycl",True,3,True,True
divergence,"cuda,hip,omp,sycl",True,2,True,True
doh,"cuda,hip,omp,sycl",True,1,True,False
dp,"cuda,hip,omp,sycl",True,3,True,True
dpid,"cuda,hip,sycl",False,3,True,False
dropout,"cuda,hip,sycl",False,1,True,False
dslash,"cuda,hip,omp,sycl",True,4,True,False
dwconv,"cuda,hip,sycl",False,1,True,False
dwconv1d,"cuda,hip,sycl",False,0,True,False
dwt2d,sycl,False,0,False,False
dxtc2,"cuda,hip,omp,sycl",True,4,True,True
easyWave,"cuda,hip,omp,sycl",True,13,True,True
ecdh,"cuda,hip,omp,sycl",True,2,True,True
egs,"cuda,hip",False,7,True,True
eigenvalue,"cuda,hip,omp,sycl",True,5,True,True
eikonal,"cuda,hip,sycl",False,11,True,True
entropy,"cuda,hip,omp,sycl",True,2,True,True
epistasis,"cuda,hip,omp,sycl",True,2,True,True
ert,"cuda,hip,sycl",False,3,True,True
expdist,"cuda,hip,omp,sycl",True,2,True,True
extend2,"cuda,hip,omp,sycl",True,1,True,True
extrema,"cuda,hip,omp,sycl",True,3,True,True
f16atomic,"cuda,hip,sycl",False,1,True,True
f16max,"cuda,hip,sycl",False,1,True,True
f16sp,"cuda,hip,sycl",False,2,True,True
f8cast,"cuda,hip,sycl",False,3,True,True
face,"cuda,hip,omp,sycl",True,8,True,True
fdtd3d,"cuda,hip,omp,sycl",True,10,True,True
feynman-kac,"cuda,hip,omp,sycl",True,3,True,True
fft,"cuda,hip,omp,sycl",True,4,True,True
fhd,"cuda,hip,omp,sycl",True,1,True,True
filter,"cuda,hip,omp,sycl",True,1,True,True
flame,"cuda,hip,sycl",False,5,True,True
flip,"cuda,hip,omp,sycl",True,2,True,True
floydwarshall,"cuda,hip,omp,sycl",True,1,True,True
floydwarshall2,"cuda,hip,sycl",False,1,True,True
fluidSim,"cuda,hip,omp,sycl",True,4,True,True
fma,"cuda,hip,sycl",False,3,True,True
fpc,"cuda,hip,omp,sycl",True,1,True,True
fpdc,"cuda,hip,omp,sycl",True,2,True,True
fresnel,"cuda,hip,omp,sycl",True,5,True,True
frna,"cuda,hip,omp,sycl",True,12,True,True
fsm,"cuda,hip,sycl",False,3,True,True
fwt,"cuda,hip,omp,sycl",True,3,True,True
ga,"cuda,hip,omp,sycl",True,2,True,True
gabor,"cuda,hip,omp,sycl",True,2,True,True
gamma-correction,"cuda,hip,omp,sycl",True,2,True,True
gaussian,"cuda,hip,omp,sycl",True,4,True,True
gc,"cuda,hip,omp,sycl",True,1,True,True
gd,"cuda,hip,omp,sycl",True,4,True,True
ge-spmm,"cuda,hip,sycl",False,2,True,True
geam,"cuda,hip,sycl",False,1,True,True
geglu,"cuda,hip,omp,sycl",True,2,True,True
gels,"cuda,hip,sycl",False,1,True,True
gelu,"cuda,hip,sycl",False,2,True,True
gemv,"cuda,hip,sycl",False,4,True,True
geodesic,"cuda,hip,omp,sycl",True,1,True,True
gerbil,"cuda,hip",False,0,True,False
gibbs,"cuda,hip,sycl",False,1,True,True
glu,"cuda,hip,omp,sycl",True,2,True,True
gmm,"cuda,hip,omp,sycl",True,5,True,True
goulash,"cuda,hip,omp,sycl",True,2,True,True
gpp,"cuda,hip,omp,sycl",True,4,True,True
graphB+,"cuda,hip,sycl",False,2,True,True
graphExecution,"cuda,hip,sycl",False,1,True,False
grep,"cuda,hip,omp,sycl",True,9,True,True
grrt,"cuda,hip,omp,sycl",True,3,True,True
gru,"cuda,hip,sycl",False,1,True,False
haccmk,"cuda,hip,omp,sycl",True,1,True,True
hadamard,"cuda,hip,sycl",False,4,True,True
halo-finder,"cuda,hip,sycl",False,24,True,True
hausdorff,"cuda,hip,omp,sycl",True,2,True,True
haversine,"cuda,hip,omp,sycl",True,3,True,True
hbc,"cuda,hip,sycl",False,8,True,True
heartwall,"cuda,hip,omp,sycl",True,2,True,True
heat,"cuda,hip,omp,sycl",True,1,True,True
heat2d,"cuda,hip,omp,sycl",True,1,True,True
hellinger,"cuda,hip,omp,sycl",True,2,True,True
henry,"cuda,hip,omp,sycl",True,1,True,True
hexciton,"cuda,hip,omp,sycl",True,6,True,True
histogram,"cuda,hip,omp,sycl",True,5,True,True
hmm,"cuda,hip,omp,sycl",True,3,True,True
hogbom,"cuda,hip,omp,sycl",True,8,True,True
hotspot,"cuda,hip,sycl",False,3,True,True
hotspot3D,"cuda,hip,omp,sycl",True,3,True,True
hpl,"cuda,hip,sycl",False,0,False,False
hungarian,"cuda,hip,sycl",False,1,True,True
hwt1d,"cuda,hip,omp,sycl",True,4,True,True
hybridsort,"cuda,hip,omp,sycl",True,10,True,True
hypterm,"cuda,hip,omp,sycl",True,4,True,True
idivide,"cuda,hip,omp,sycl",True,3,True,True
interleave,"cuda,hip,omp,sycl",True,2,True,True
interval,"cuda,hip,omp,sycl",True,6,True,True
intrinsics-cast,"cuda,hip,sycl",False,1,True,False
intrinsics-simd,cuda,False,1,True,False
inversek2j,"cuda,hip,omp,sycl",True,1,True,True
is,"cuda,hip,sycl",False,3,True,True
ising,"cuda,hip,omp,sycl",True,3,True,True
iso2dfd,"cuda,hip,omp,sycl",True,2,True,True
jaccard,"cuda,hip,sycl",False,1,True,True
jacobi,"cuda,hip,omp,sycl",True,1,True,True
jenkins-hash,"cuda,hip,omp,sycl",True,1,True,True
kalman,"cuda,hip,omp,sycl",True,2,True,True
keccaktreehash,"cuda,hip,omp,sycl",True,11,True,True
keogh,"cuda,hip,omp,sycl",True,2,True,True
kernelLaunch,"cuda,hip,omp,sycl",True,1,True,False
kiss,"cuda,hip,sycl",False,1,True,False
kmc,"cuda,hip,sycl",False,4,True,True
kmeans,"cuda,hip,omp,sycl",True,7,True,True
knn,"cuda,hip,omp,sycl",True,1,True,True
kurtosis,"cuda,hip,sycl",False,4,True,False
lanczos,"cuda,hip,omp,sycl",True,9,True,True
langevin,"cuda,hip,omp,sycl",True,1,True,True
langford,"cuda,hip,omp,sycl",True,1,True,True
laplace,"cuda,hip,omp,sycl",True,4,True,True
laplace3d,"cuda,hip,omp,sycl",True,3,True,True
lavaMD,"cuda,hip,omp,sycl",True,3,True,True
layernorm,"cuda,hip,omp,sycl",True,3,True,True
layout,"cuda,hip,omp,sycl",True,1,True,True
lci,"cuda,hip,omp,sycl",True,3,True,True
lda,"cuda,hip,omp,sycl",True,3,True,False
ldpc,"cuda,hip,omp,sycl",True,5,True,True
lebesgue,"cuda,hip,omp,sycl",True,5,True,True
leukocyte,"cuda,hip,omp,sycl",True,15,True,True
lfib4,"cuda,hip,sycl",False,1,True,True
libor,"cuda,hip,omp,sycl",True,1,True,True
lid-driven-cavity,"cuda,hip,omp,sycl",True,1,True,False
lif,"cuda,hip,omp,sycl",True,1,True,True
linearprobing,"cuda,hip,omp,sycl",True,4,True,True
local-ht,"cuda,hip",False,0,False,False
log2,"cuda,hip,omp,sycl",True,2,True,False
logan,"cuda,hip,sycl",False,0,True,False
logic-resim,"cuda,hip,sycl",False,0,False,False
logic-rewrite,"cuda,hip",False,21,True,True
logprob,"cuda,hip,sycl",False,3,True,True
lombscargle,"cuda,hip,omp,sycl",True,1,True,True
loopback,"cuda,hip,omp,sycl",True,3,True,False
lr,"cuda,hip,omp,sycl",True,5,True,True
lrn,"cuda,hip,omp,sycl",True,2,True,False
lsqt,"cuda,hip,omp,sycl",True,18,True,True
lud,"cuda,hip,omp,sycl",True,2,True,True
ludb,"cuda,hip,sycl",False,1,True,True
lulesh,"cuda,hip,omp,sycl",True,5,True,True
lut-gemm,"cuda,hip,sycl",False,9,True,True
lzss,"cuda,hip,sycl",False,2,True,True
mallocFree,"cuda,hip,omp,sycl",True,1,True,False
mandelbrot,"cuda,hip,omp,sycl",True,3,True,True
marchingCubes,"cuda,hip,sycl",False,2,True,True
mask,"cuda,hip,omp,sycl",True,2,True,True
match,"cuda,hip,omp,sycl",True,1,True,True
matern,"cuda,hip,omp,sycl",True,2,True,True
matrix-rotate,"cuda,hip,omp,sycl",True,1,True,True
matrixT,"cuda,hip,sycl",False,1,True,True
maxFlops,"cuda,hip,omp,sycl",True,2,True,False
maxpool3d,"cuda,hip,omp,sycl",True,1,True,True
mcmd,"cuda,hip,omp,sycl",True,34,True,True
mcpr,"cuda,hip,omp,sycl",True,3,True,True
md,"cuda,hip,omp,sycl",True,4,True,True
md5hash,"cuda,hip,omp,sycl",True,1,True,True
mdh,"cuda,hip,omp,sycl",True,4,True,True
meanshift,"cuda,hip,omp,sycl",True,3,True,True
medianfilter,"cuda,hip,omp,sycl",True,3,True,True
memcpy,"cuda,hip,omp,sycl",True,1,True,True
memtest,"cuda,hip,omp,sycl",True,2,True,True
merge,"cuda,hip,omp,sycl",True,2,True,True
merkle,"cuda,hip,sycl",False,9,True,False
metropolis,"cuda,hip,omp,sycl",True,9,True,True
mf-sgd,"cuda,hip,sycl",False,0,False,False
michalewicz,"cuda,hip,omp,sycl",True,1,True,True
miniDGS,cuda,False,0,True,False
miniFE,"cuda,hip,omp,sycl",True,0,False,False
miniWeather,"cuda,hip,omp,sycl",True,3,True,True
minibude,"cuda,hip,omp,sycl",True,3,True,True
minimap2,"cuda,hip,omp,sycl",True,0,True,False
minimod,"cuda,hip,sycl",False,10,True,True
minisweep,"cuda,hip,omp,sycl",True,4,True,True
minkowski,"cuda,hip,omp,sycl",True,2,True,True
minmax,"cuda,hip,sycl",False,3,True,True
mis,"cuda,hip,omp,sycl",True,2,True,True
mixbench,"cuda,hip,omp,sycl",True,1,True,True
mmcsf,"cuda,hip,sycl",False,6,True,True
mnist,"cuda,hip,sycl",False,4,True,True
moe,"cuda,hip,sycl",False,3,True,True
moe-align,"cuda,hip,sycl",False,1,True,True
moe-sum,"cuda,hip,sycl",False,2,True,True
morphology,"cuda,hip,omp,sycl",True,3,True,True
mpc,"cuda,hip,sycl",False,3,True,True
mr,"cuda,hip,omp,sycl",True,7,True,True
mrc,"cuda,hip,omp,sycl",True,2,True,True
mrg32k3a,"cuda,hip,sycl",False,1,True,True
mriQ,"cuda,hip,omp,sycl",True,3,True,True
mt,"cuda,hip,omp,sycl",True,5,True,True
mtf,"cuda,hip,sycl",False,2,True,True
multimaterial,"cuda,hip,omp,sycl",True,3,True,True
multinomial,"cuda,hip,sycl",False,2,True,True
murmurhash3,"cuda,hip,omp,sycl",True,1,True,True
mxfp4,"cuda,hip,sycl",False,3,True,True
myocyte,"cuda,hip,omp,sycl",True,11,True,True
nbnxm,"cuda,hip,sycl",False,3,True,False
nbody,"cuda,hip,omp,sycl",True,7,True,True
ne,"cuda,hip,omp,sycl",True,1,True,False
nlll,"cuda,hip,omp,sycl",True,2,True,True
nms,"cuda,hip,omp,sycl",True,1,True,True
nn,"cuda,hip,omp,sycl",True,4,True,True
nonzero,"cuda,hip,sycl",False,1,True,True
norm2,"cuda,hip,omp,sycl",True,1,True,True
nosync,"cuda,hip,sycl",False,1,True,True
nqueen,"cuda,hip,omp,sycl",True,1,True,True
ntt,"cuda,hip,omp,sycl",True,2,True,False
nw,"cuda,hip,omp,sycl",True,2,True,True
openmp,"cuda,hip,omp,sycl",True,1,True,True
opticalFlow,"cuda,hip,sycl",False,6,True,True
overlap,"cuda,hip,sycl",False,1,True,True
overlay,"cuda,hip,omp,sycl",True,2,True,True
p2p,"cuda,hip,sycl",False,1,True,True
p4,"cuda,hip,omp,sycl",True,3,True,True
pad,"cuda,hip,sycl",False,4,True,True
page-rank,"cuda,hip,omp,sycl",True,2,True,True
particle-diffusion,"cuda,hip,omp,sycl",True,2,True,True
particlefilter,"cuda,hip,omp,sycl",True,5,True,True
particles,"cuda,hip,omp,sycl",True,6,True,True
pathfinder,"cuda,hip,omp,sycl",True,1,True,True
pcc,"cuda,hip,sycl",False,3,True,True
perlin,"cuda,hip,sycl",False,5,True,True
permutate,"cuda,hip,omp,sycl",True,6,True,True
permute,"cuda,hip,omp,sycl",True,1,True,False
perplexity,"cuda,hip,omp,sycl",True,2,True,True
phmm,"cuda,hip,omp,sycl",True,3,True,False
pingpong,"cuda,hip,sycl",False,2,True,True
pitch,"cuda,hip,sycl",False,1,True,False
pnpoly,"cuda,hip,omp,sycl",True,2,True,True
pns,"cuda,hip,omp,sycl",True,5,True,True
pointwise,"cuda,hip,omp,sycl",True,1,True,True
pool,"cuda,hip,omp,sycl",True,2,True,True
popcount,"cuda,hip,omp,sycl",True,1,True,True
prefetch,"cuda,hip,sycl",False,1,True,True
present,"cuda,hip,omp,sycl",True,1,True,True
prna,"cuda,hip,omp,sycl",True,11,True,True
projectile,"cuda,hip,omp,sycl",True,3,True,True
pso,"cuda,hip,omp,sycl",True,4,True,True
qem,"cuda,hip,sycl",False,4,True,True
qkv,"cuda,hip,sycl",False,2,True,True
qrg,"cuda,hip,omp,sycl",True,3,True,True
qtclustering,"cuda,hip,omp,sycl",True,17,True,True
quant3MatMul,"cuda,hip,sycl",False,2,True,True
quantAQLM,"cuda,hip,sycl",False,1,True,True
quantBnB,"cuda,hip,omp,sycl",True,5,True,True
quantVLLM,"cuda,hip,sycl",False,3,True,True
quicksort,"cuda,hip,omp,sycl",True,2,True,True
radixsort,"cuda,hip,omp,sycl",True,7,True,True
radixsort2,"cuda,hip,sycl",False,2,True,True
rainflow,"cuda,hip,omp,sycl",True,2,True,True
randomAccess,"cuda,hip,omp,sycl",True,1,True,True
rayleighBenardConvection,"cuda,hip,sycl",False,1,True,True
reaction,"cuda,hip,omp,sycl",True,3,True,False
recursiveGaussian,"cuda,hip,omp,sycl",True,4,True,True
relu,"cuda,hip,sycl",False,2,True,True
remap,"cuda,hip,sycl",False,1,True,False
resize,"cuda,hip,omp,sycl",True,1,True,False
resnet-kernels,"cuda,hip,sycl",False,11,True,True
reverse,"cuda,hip,omp,sycl",True,1,True,True
reverse2D,"cuda,hip,sycl",False,1,True,False
rfs,"cuda,hip,omp,sycl",True,1,True,True
ring,"cuda,hip,sycl",False,1,True,True
rle,"cuda,hip",False,3,True,True
rmsnorm,"cuda,hip,omp,sycl",True,3,True,True
rng-wallace,"cuda,hip,omp,sycl",True,5,True,True
rodrigues,"cuda,hip,omp,sycl",True,1,True,False
romberg,"cuda,hip,omp,sycl",True,2,True,True
rotary,"cuda,hip,sycl",False,3,True,True
rowwiseMoments,"cuda,hip,sycl",False,2,True,True
rsbench,"cuda,hip,omp,sycl",True,7,True,True
rsc,"cuda,hip,omp,sycl",True,4,True,True
rsmt,"cuda,hip,sycl",False,2,True,True
rtm8,"cuda,hip,omp,sycl",True,2,True,True
rushlarsen,"cuda,hip,omp,sycl",True,5,True,True
s3d,"cuda,hip,omp,sycl",True,17,True,True
s8n,"cuda,hip,omp,sycl",True,2,True,True
sa,"cuda,hip,sycl",False,2,True,True
sad,"cuda,hip,omp,sycl",True,1,True,True
sampling,"cuda,hip,omp,sycl",True,2,True,True
saxpy-ompt,"cuda,hip,sycl",False,9,True,True
sc,"cuda,hip,sycl",False,4,True,True
scan,"cuda,hip,omp,sycl",True,1,True,True
scan2,"cuda,hip,omp,sycl",True,2,True,True
scan3,"cuda,hip,sycl",False,1,True,True
scatter,"cuda,hip,sycl",False,4,True,True
scatterAdd,"cuda,hip,omp,sycl",True,2,True,True
scatterThrust,"cuda,hip,sycl",False,1,True,True
scel,"cuda,hip,omp,sycl",True,2,True,True
score,"cuda,hip,sycl",False,2,True,True
sddmm-batch,"cuda,hip",False,2,True,True
seam-carving,"cuda,hip,sycl",False,4,True,True
secp256k1,"cuda,hip,omp,sycl",True,1,True,True
segment-reduce,"cuda,hip,sycl",False,1,True,True
segsort,"cuda,hip,sycl",False,1,True,True
sheath,"cuda,hip,omp,sycl",True,1,True,True
shmembench,"cuda,hip,omp,sycl",True,3,True,True
shuffle,"cuda,hip,sycl",False,1,True,True
si,"cuda,hip,sycl",False,0,False,False
simpleMultiDevice,"cuda,hip,sycl",False,2,True,True
simpleSpmv,"cuda,hip,omp,sycl",True,4,True,True
simplemoc,"cuda,hip,omp,sycl",True,4,True,True
slit,"cuda,hip,sycl",False,2,True,True
slu,"cuda,hip,omp,sycl",True,0,False,False
snake,"cuda,hip,omp,sycl",True,3,True,True
snicit,"cuda,hip,sycl",False,0,False,False
sobel,"cuda,hip,omp,sycl",True,4,True,True
sobol,"cuda,hip,omp,sycl",True,8,True,True
softmax,"cuda,hip,omp,sycl",True,1,True,True
softmax-fused,"cuda,hip,sycl",False,2,True,True
softmax-online,"cuda,hip,omp,sycl",True,3,True,True
sort,"cuda,hip,omp,sycl",True,4,True,True
sortKV,"cuda,hip,sycl",False,1,True,True
sosfil,"cuda,hip,omp,sycl",True,2,True,True
sparkler,"cuda,hip,sycl",False,1,True,True
spaxpby,"cuda,hip",False,2,True,True
spd2s,"cuda,hip",False,2,True,True
spgeam,"cuda,hip,sycl",False,1,True,True
spgemm,"cuda,hip,sycl",False,2,True,True
sph,"cuda,hip,omp,sycl",True,4,True,True
split,"cuda,hip,omp,sycl",True,2,True,True
spm,"cuda,hip,omp,sycl",True,1,True,False
spmm,"cuda,hip",False,2,True,True
spmv,"cuda,hip,sycl",False,4,True,True
spnnz,"cuda,hip",False,1,True,True
sps2d,"cuda,hip",False,1,True,True
spsm,"cuda,hip",False,2,True,True
spsort,"cuda,hip,sycl",False,1,True,True
sptrsv,"cuda,hip,omp,sycl",True,1,True,True
srad,"cuda,hip,omp,sycl",True,12,True,True
ss,"cuda,hip,omp,sycl",True,3,True,True
ssim,"cuda,hip,sycl",False,2,True,True
sss,"cuda,hip,sycl",False,9,True,True
sssp,"cuda,hip,sycl",False,3,True,True
stddev,"cuda,hip,omp,sycl",True,2,True,True
stencil1d,"cuda,hip,omp,sycl",True,1,True,True
stencil3d,"cuda,hip,omp,sycl",True,1,True,True
storeKVCache,"cuda,hip,omp,sycl",True,2,True,True
streamCreateCopyDestroy,"cuda,hip,sycl",False,1,True,False
streamOrderedAllocation,"cuda,hip",False,1,True,True
streamPriority,"cuda,hip,sycl",False,1,True,True
streamUM,"cuda,hip,sycl",False,2,True,True
streamcluster,"cuda,hip,omp,sycl",True,4,True,True
stsg,"cuda,hip,sycl",False,3,True,False
su3,"cuda,hip,omp,sycl",True,5,True,True
surfel,"cuda,hip,omp,sycl",True,2,True,True
svd3x3,"cuda,hip,omp,sycl",True,2,True,True
sw4ck,"cuda,hip,omp,sycl",True,10,True,True
swish,"cuda,hip,omp,sycl",True,2,True,True
tensorAccessor,"cuda,hip,sycl",False,2,True,True
tensorT,"cuda,hip,omp,sycl",True,1,True,True
testSNAP,"cuda,hip,omp,sycl",True,3,True,True
tgvnn,"cuda,hip,sycl",False,0,False,False
thomas,"cuda,hip,omp,sycl",True,5,True,True
threadcpy,"cuda,hip,omp,sycl",True,1,True,True
threadfence,"cuda,hip,omp,sycl",True,1,True,True
tissue,"cuda,hip,omp,sycl",True,1,True,True
tonemapping,"cuda,hip,omp,sycl",True,2,True,True
topk,"cuda,hip,sycl",False,3,True,True
tpacf,"cuda,hip,sycl",False,8,True,True
tqs,"cuda,hip,omp,sycl",True,4,True,True
triad,"cuda,hip,omp,sycl",True,10,True,True
tridiagonal,"cuda,hip,omp,sycl",True,16,True,True
tsa,"cuda,hip,omp,sycl",True,3,True,True
tsne,"cuda,hip,sycl",False,27,True,True
tsp,"cuda,hip,omp,sycl",True,1,True,True
unfold,"cuda,hip,sycl",False,1,True,True
urng,"cuda,hip,omp,sycl",True,3,True,True
vanGenuchten,"cuda,hip,omp,sycl",True,2,True,True
vmc,"cuda,hip,omp,sycl",True,1,True,True
vol2col,"cuda,hip,omp,sycl",True,2,True,True
vote,"cuda,hip,sycl",False,3,True,True
voxelization,"cuda,hip,sycl",False,2,True,True
warpexchange,"cuda,hip,sycl",False,2,True,True
warpsort,"cuda,hip,sycl",False,2,True,True
wedford,"cuda,hip,omp,sycl",True,2,True,True
winograd,"cuda,hip,omp,sycl",True,3,True,True
wlcpow,"cuda,hip,omp,sycl",True,2,True,False
wmma,"cuda,hip,sycl",False,2,True,True
word2vec,"cuda,hip,sycl",False,3,True,True
wordcount,"cuda,hip,omp,sycl",True,1,True,False
wsm5,"cuda,hip,omp,sycl",True,5,True,True
wyllie,"cuda,hip,omp,sycl",True,2,True,True
xlqc,"cuda,hip,omp,sycl",True,8,True,True
xsbench,"cuda,hip,omp,sycl",True,7,True,True
zerocopy,"cuda,hip,sycl",False,1,True,True
zeropoint,"cuda,hip,omp,sycl",True,2,True,True
zmddft,"cuda,hip,omp,sycl",True,1,True,False
zoom,"cuda,hip,sycl",False,1,True,False
