Benchmark,Kernel,APIs,API_Count,Has_CUDA,Has_HIP,Has_SYCL,Has_OpenMP
BabelStream,copy,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
BabelStream,mul,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
BabelStream,add,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
BabelStream,triad,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
BabelStream,dot,"CUDA, HIP, Kokkos, OpenACC, OpenCL, OpenMP, RAJA, SYCL, TBB, Thrust, stdpar",11,True,True,True,True
HeCBench,rainflow,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,cmp,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,softmax-fused,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,quantBnB,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,quant3MatMul,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,dpid,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,phmm,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,attentionMultiHead,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,particle-diffusion,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,rushlarsen,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,nn,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,nw,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,bmf,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,f16atomic,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,spsort,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,degrid,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,testSNAP,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,convolutionDeformable,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,miniFE,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,thomas,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,conversion,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,collision,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,score,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,easyWave,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,keccaktreehash,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,binomial,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,jenkins-hash,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,particles,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,deredundancy,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,perplexity,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,pns,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,diamond,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,sddmm-batch,"CUDA, HIP",2,True,True,False,False
HeCBench,radixsort,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,aop,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mallocFree,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,scan,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,ldpc,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,unfold,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,chi2,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,interleave,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,lsqt,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,d2q9-bgk,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,segment-reduce,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,channelSum,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,accuracy,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,kernelLaunch,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,flip,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,zoom,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,spmm,"CUDA, HIP",2,True,True,False,False
HeCBench,atan2,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,gmm,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mis,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,halo-finder,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,wyllie,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,minisweep,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,bn,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,aes,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,dxtc2,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,fresnel,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,crc64,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,heartwall,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,reverse2D,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,scan2,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,merge,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,feynman-kac,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,fsm,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,projectile,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,sparkler,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,graphExecution,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,aligned-types,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mixbench,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,fpc,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,hogbom,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,matrixT,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,libor,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,warpsort,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,lda,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,rayleighBenardConvection,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,sobel,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,wsm5,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,geodesic,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,extrema,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,hpl,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,langevin,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,asmooth,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,graphB+,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,slu,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,quantVLLM,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,kmc,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,softmax-online,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,boxfilter,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,miniWeather,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,asta,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,permutate,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mcmd,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,nbody,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,michalewicz,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,tgvnn,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,scatter,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,expdist,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,segsort,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,qem,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,pathfinder,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,convolution3D,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,linearprobing,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,atomicIntrinsics,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,blas-fp8gemm,"CUDA, HIP",2,True,True,False,False
HeCBench,jacobi,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,s3d,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,langford,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,sampling,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,present,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,sosfil,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,prefetch,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,attention,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,softmax,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,warpexchange,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,zmddft,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,pso,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,rotary,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,voxelization,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,sobol,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,simpleMultiDevice,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,morphology,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,meanshift,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,all-pairs-distance,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,bh,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,chacha20,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,tonemapping,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,ssim,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,dwconv1d,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,pingpong,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,background-subtract,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,hmm,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,divergence,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,lr,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,eikonal,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,grrt,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,fluidSim,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,relu,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,mask,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,wlcpow,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,murmurhash3,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,leukocyte,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mxfp4,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,allreduce,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,bfs,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mt,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,bezier-surface,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,crs,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,iso2dfd,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,depixel,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,winograd,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,wmma,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,hellinger,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,popcount,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,fhd,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,overlay,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,geglu,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,seam-carving,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,stddev,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,f16max,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,knn,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,pool,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,ecdh,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,debayer,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,addBiasResidualLayerNorm,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,ne,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,srad,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,nms,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,sort,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,moe-sum,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,triad,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,tsp,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,ccs,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,minmax,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,bsearch,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,tsa,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,norm2,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,filter,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,blas-gemmBatched,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,nlll,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,wedford,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,gd,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,bincount,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,eigenvalue,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,snake,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,simpleSpmv,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,zerocopy,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,glu,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,gc,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,lombscargle,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,gaussian,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,recursiveGaussian,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,resnet-kernels,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,sptrsv,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mrg32k3a,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,logic-rewrite,"CUDA, HIP",2,True,True,False,False
HeCBench,mriQ,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,layernorm,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,colorwheel,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,amgmk,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,distort,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,car,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,determinant,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,perlin,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,affine,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,lud,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,ccsd-trpdrv,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,mnist,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,lebesgue,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,multinomial,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,maxpool3d,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,qrg,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,gelu,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,ga,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,bsw,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,tridiagonal,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,urng,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,cc,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,bwt,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,reaction,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,reverse,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,fwt,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,spmv,"CUDA, HIP, SYCL",3,True,True,True,False
HeCBench,ddbp,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,atomicReduction,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
HeCBench,hexciton,"CUDA, HIP, OpenMP, SYCL",4,True,True,True,True
